CategoryName;ItemId
Managed Settings MDM Options;settings_item_mdmoptions_mdmoptions
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_interfacetypematch
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_actionparameters_domainaction
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_dnsserveraddressmatch
Networking > DNS Settings;com.apple.dnssettings.managed_dnssettings_serveraddresses
Networking > DNS Settings;com.apple.dnssettings.managed_prohibitdisablement
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_action
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_urlstringprobe
Networking > DNS Settings;com.apple.dnssettings.managed_com.apple.dnssettings.managed
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules
Networking > DNS Settings;com.apple.dnssettings.managed_dnssettings_dnsprotocol
Networking > DNS Settings;com.apple.dnssettings.managed_dnssettings_supplementalmatchdomains
Networking > DNS Settings;com.apple.dnssettings.managed_dnssettings
Networking > DNS Settings;com.apple.dnssettings.managed_dnssettings_serverurl
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_actionparameters_domains
Networking > DNS Settings;com.apple.dnssettings.managed_dnssettings_servername
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_dnsdomainmatch
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_actionparameters
Networking > DNS Settings;com.apple.dnssettings.managed_ondemandrules_item_ssidmatch
Networking > Domains;com.apple.domains_com.apple.domains
Networking > Domains;com.apple.domains_crosssitetrackingpreventionrelaxeddomains
Networking > Domains;com.apple.domains_emaildomains
Printing > AirPrint;com.apple.airprint_airprint_item_resourcepath
Printing > AirPrint;com.apple.airprint_com.apple.airprint
Printing > AirPrint;com.apple.airprint_airprint
Printing > AirPrint;com.apple.airprint_airprint_item_ipaddress
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxypassword
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxytype
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxypacurl
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxycaptiveloginallowed
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxyserverport
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxyusername
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxyserver
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_proxypacfallbackallowed
Proxies > Global HTTP Proxy;com.apple.proxy.http.global_com.apple.proxy.http.global
Restrictions;com.apple.applicationaccess_allowcamera
Restrictions;com.apple.applicationaccess_ratingregion
Restrictions;com.apple.applicationaccess_allowpasswordautofill
Restrictions;com.apple.applicationaccess_forceclassroomautomaticallyjoinclasses
Restrictions;com.apple.applicationaccess_forceondeviceonlydictation
Restrictions;com.apple.applicationaccess_allowdevicenamemodification
Restrictions;com.apple.applicationaccess_allowfindmydevice
Restrictions;com.apple.applicationaccess_allowspotlightinternetresults
Restrictions;com.apple.applicationaccess_forceclassroomunpromptedappanddevicelock
Restrictions;com.apple.applicationaccess_allowpasscodemodification
Restrictions;com.apple.applicationaccess_safariallowautofill
Restrictions;com.apple.applicationaccess_allowcloudprivaterelay
Restrictions;com.apple.applicationaccess_forceclassroomunpromptedscreenobservation
Restrictions;com.apple.applicationaccess_allowclouddocumentsync
Restrictions;com.apple.applicationaccess_allowaccountmodification
Restrictions;com.apple.applicationaccess_allowautounlock
Restrictions;com.apple.applicationaccess_forceassistantprofanityfilter
Restrictions;com.apple.applicationaccess_allowapplepersonalizedadvertising
Restrictions;com.apple.applicationaccess_allowairdrop
Restrictions;com.apple.applicationaccess_allowdictation
Restrictions;com.apple.applicationaccess_enforcedsoftwareupdatedelay
Restrictions;com.apple.applicationaccess_allowerasecontentandsettings
Restrictions;com.apple.applicationaccess_allowremotescreenobservation
Restrictions;com.apple.applicationaccess_allowpasswordsharing
Restrictions;com.apple.applicationaccess_allowaddinggamecenterfriends
Restrictions;com.apple.applicationaccess_com.apple.applicationaccess
Restrictions;com.apple.applicationaccess_allowmultiplayergaming
Restrictions;com.apple.applicationaccess_forceclassroomrequestpermissiontoleaveclasses
Restrictions;com.apple.applicationaccess_allowdiagnosticsubmission
Restrictions;com.apple.applicationaccess_forcedelayedsoftwareupdates
Restrictions;com.apple.applicationaccess_allowdefinitionlookup
Restrictions;com.apple.applicationaccess_allowpasswordproximityrequests
Restrictions;com.apple.applicationaccess_allowassistant
Restrictions;com.apple.applicationaccess_allowfindmyfriends
Restrictions;com.apple.applicationaccess_allowscreenshot
Restrictions;com.apple.applicationaccess_allowrapidsecurityresponseremoval
Restrictions;com.apple.applicationaccess_allowcloudkeychainsync
Restrictions;com.apple.applicationaccess_allowwallpapermodification
Restrictions;com.apple.applicationaccess_allowbluetoothmodification
Restrictions;com.apple.applicationaccess_allowcloudphotolibrary
Restrictions;com.apple.applicationaccess_allowfingerprintforunlock
Restrictions;com.apple.applicationaccess_allowfingerprintmodification
Restrictions;com.apple.applicationaccess_allowrapidsecurityresponseinstallation
Restrictions;com.apple.applicationaccess_allowactivitycontinuation
Restrictions;com.apple.applicationaccess_allowusbrestrictedmode
Restrictions;com.apple.applicationaccess_allowmusicservice
Restrictions;com.apple.applicationaccess_allowgamecenter
Restrictions;com.apple.applicationaccess_allowuiconfigurationprofileinstallation
Security > Passcode;com.apple.mobiledevice.passwordpolicy_allowsimple
Security > Passcode;com.apple.mobiledevice.passwordpolicy_maxinactivity
Security > Passcode;com.apple.mobiledevice.passwordpolicy_maxfailedattempts
Security > Passcode;com.apple.mobiledevice.passwordpolicy_maxpinageindays
Security > Passcode;com.apple.mobiledevice.passwordpolicy_mincomplexchars
Security > Passcode;com.apple.mobiledevice.passwordpolicy_customregex_passwordcontentregex
Security > Passcode;com.apple.mobiledevice.passwordpolicy_customregex_passwordcontentdescription_generickey_keytobereplaced
Security > Passcode;com.apple.mobiledevice.passwordpolicy_pinhistory
Security > Passcode;com.apple.mobiledevice.passwordpolicy_customregex_passwordcontentdescription
Security > Passcode;com.apple.mobiledevice.passwordpolicy_forcepin
Security > Passcode;com.apple.mobiledevice.passwordpolicy_maxgraceperiod
Security > Passcode;com.apple.mobiledevice.passwordpolicy_com.apple.mobiledevice.passwordpolicy
Security > Passcode;com.apple.mobiledevice.passwordpolicy_requirealphanumeric
Security > Passcode;com.apple.mobiledevice.passwordpolicy_customregex_passwordcontentdescription_generickey
Security > Passcode;com.apple.mobiledevice.passwordpolicy_minlength
User Experience > Notifications;com.apple.notificationsettings_notificationsettings_item_bundleidentifier
